,y,S0,S1,I0,I1,I2,I3,R0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,1,1
4,0,0,0,0,0,1,0,0
5,0,0,0,0,0,1,0,1
6,0,0,0,0,0,1,1,0
7,0,0,0,0,0,1,1,1
8,0,0,0,0,1,0,0,0
9,0,0,0,0,1,0,0,1
10,0,0,0,0,1,0,1,0
11,0,0,0,0,1,0,1,1
12,0,0,0,0,1,1,0,0
13,0,0,0,0,1,1,0,1
14,0,0,0,0,1,1,1,0
15,0,0,0,0,1,1,1,1
16,1,0,0,1,0,0,0,0
17,1,0,0,1,0,0,0,1
18,1,0,0,1,0,0,1,0
19,1,0,0,1,0,0,1,1
20,1,0,0,1,0,1,0,0
21,1,0,0,1,0,1,0,1
22,1,0,0,1,0,1,1,0
23,1,0,0,1,0,1,1,1
24,1,0,0,1,1,0,0,0
25,1,0,0,1,1,0,0,1
26,1,0,0,1,1,0,1,0
27,1,0,0,1,1,0,1,1
28,1,0,0,1,1,1,0,0
29,1,0,0,1,1,1,0,1
30,1,0,0,1,1,1,1,0
31,1,0,0,1,1,1,1,1
32,0,0,1,0,0,0,0,0
33,0,0,1,0,0,0,0,1
34,0,0,1,0,0,0,1,0
35,0,0,1,0,0,0,1,1
36,0,0,1,0,0,1,0,0
37,0,0,1,0,0,1,0,1
38,0,0,1,0,0,1,1,0
39,0,0,1,0,0,1,1,1
40,1,0,1,0,1,0,0,0
41,1,0,1,0,1,0,0,1
42,1,0,1,0,1,0,1,0
43,1,0,1,0,1,0,1,1
44,1,0,1,0,1,1,0,0
45,1,0,1,0,1,1,0,1
46,1,0,1,0,1,1,1,0
47,1,0,1,0,1,1,1,1
48,0,0,1,1,0,0,0,0
49,0,0,1,1,0,0,0,1
50,0,0,1,1,0,0,1,0
51,0,0,1,1,0,0,1,1
52,0,0,1,1,0,1,0,0
53,0,0,1,1,0,1,0,1
54,0,0,1,1,0,1,1,0
55,0,0,1,1,0,1,1,1
56,1,0,1,1,1,0,0,0
57,1,0,1,1,1,0,0,1
58,1,0,1,1,1,0,1,0
59,1,0,1,1,1,0,1,1
60,1,0,1,1,1,1,0,0
61,1,0,1,1,1,1,0,1
62,1,0,1,1,1,1,1,0
63,1,0,1,1,1,1,1,1
64,0,1,0,0,0,0,0,0
65,0,1,0,0,0,0,0,1
66,0,1,0,0,0,0,1,0
67,0,1,0,0,0,0,1,1
68,1,1,0,0,0,1,0,0
69,1,1,0,0,0,1,0,1
70,1,1,0,0,0,1,1,0
71,1,1,0,0,0,1,1,1
72,0,1,0,0,1,0,0,0
73,0,1,0,0,1,0,0,1
74,0,1,0,0,1,0,1,0
75,0,1,0,0,1,0,1,1
76,1,1,0,0,1,1,0,0
77,1,1,0,0,1,1,0,1
78,1,1,0,0,1,1,1,0
79,1,1,0,0,1,1,1,1
80,0,1,0,1,0,0,0,0
81,0,1,0,1,0,0,0,1
82,0,1,0,1,0,0,1,0
83,0,1,0,1,0,0,1,1
84,1,1,0,1,0,1,0,0
85,1,1,0,1,0,1,0,1
86,1,1,0,1,0,1,1,0
87,1,1,0,1,0,1,1,1
88,0,1,0,1,1,0,0,0
89,0,1,0,1,1,0,0,1
90,0,1,0,1,1,0,1,0
91,0,1,0,1,1,0,1,1
92,1,1,0,1,1,1,0,0
93,1,1,0,1,1,1,0,1
94,1,1,0,1,1,1,1,0
95,1,1,0,1,1,1,1,1
96,0,1,1,0,0,0,0,0
97,0,1,1,0,0,0,0,1
98,1,1,1,0,0,0,1,0
99,1,1,1,0,0,0,1,1
100,0,1,1,0,0,1,0,0
101,0,1,1,0,0,1,0,1
102,1,1,1,0,0,1,1,0
103,1,1,1,0,0,1,1,1
104,0,1,1,0,1,0,0,0
105,0,1,1,0,1,0,0,1
106,1,1,1,0,1,0,1,0
107,1,1,1,0,1,0,1,1
108,0,1,1,0,1,1,0,0
109,0,1,1,0,1,1,0,1
110,1,1,1,0,1,1,1,0
111,1,1,1,0,1,1,1,1
112,0,1,1,1,0,0,0,0
113,0,1,1,1,0,0,0,1
114,1,1,1,1,0,0,1,0
115,1,1,1,1,0,0,1,1
116,0,1,1,1,0,1,0,0
117,0,1,1,1,0,1,0,1
118,1,1,1,1,0,1,1,0
119,1,1,1,1,0,1,1,1
120,0,1,1,1,1,0,0,0
121,0,1,1,1,1,0,0,1
122,1,1,1,1,1,0,1,0
123,1,1,1,1,1,0,1,1
124,0,1,1,1,1,1,0,0
125,0,1,1,1,1,1,0,1
126,1,1,1,1,1,1,1,0
127,1,1,1,1,1,1,1,1
